use_id,crop,rate_value,rate_unit,rate_level,planting_method,workbook,product_identifier,region,target_pest,notes
"small_cereals|Wheat, Durum|high|300.000|mg a.i./kg seed","Wheat, Durum",300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|high|300.000|mg a.i./kg seed","Wheat, Durum",300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|high|300.000|mg a.i./kg seed","Wheat, Durum",300,mg a.i./kg seed,high,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|mid|200.000|mg a.i./kg seed","Wheat, Durum",200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|mid|200.000|mg a.i./kg seed","Wheat, Durum",200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|mid|200.000|mg a.i./kg seed","Wheat, Durum",200,mg a.i./kg seed,mid,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|low|100.000|mg a.i./kg seed","Wheat, Durum",100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|low|100.000|mg a.i./kg seed","Wheat, Durum",100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, Durum|low|100.000|mg a.i./kg seed","Wheat, Durum",100,mg a.i./kg seed,low,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|high|300.000|mg a.i./kg seed","Wheat, spring (non-durum)",300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|high|300.000|mg a.i./kg seed","Wheat, spring (non-durum)",300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|high|300.000|mg a.i./kg seed","Wheat, spring (non-durum)",300,mg a.i./kg seed,high,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, spring (non-durum)",200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, spring (non-durum)",200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals|Wheat, spring (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, spring (non-durum)",200,mg a.i./kg seed,mid,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
