use_id,crop,rate_value,rate_unit,rate_level,planting_method,workbook,product_identifier,region,target_pest,notes
"small_cereals_msa|Wheat, spring (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, spring (non-durum)",200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, spring (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, spring (non-durum)",200,mg a.i./kg seed,mid,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, spring (non-durum)|low|100.000|mg a.i./kg seed","Wheat, spring (non-durum)",100,mg a.i./kg seed,low,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|high|300.000|mg a.i./kg seed","Wheat, winter (non-durum)",300,mg a.i./kg seed,high,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|mid|200.000|mg a.i./kg seed","Wheat, winter (non-durum)",200,mg a.i./kg seed,mid,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Wheat, winter (non-durum)|low|100.000|mg a.i./kg seed","Wheat, winter (non-durum)",100,mg a.i./kg seed,low,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|high|300.000|mg a.i./kg seed,Buckwheat,300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|high|300.000|mg a.i./kg seed,Buckwheat,300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|mid|200.000|mg a.i./kg seed,Buckwheat,200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|mid|200.000|mg a.i./kg seed,Buckwheat,200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|low|100.000|mg a.i./kg seed,Buckwheat,100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Buckwheat|low|100.000|mg a.i./kg seed,Buckwheat,100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=7; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|high|300.000|mg a.i./kg seed,Sorghum,300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|high|300.000|mg a.i./kg seed,Sorghum,300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|mid|200.000|mg a.i./kg seed,Sorghum,200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|mid|200.000|mg a.i./kg seed,Sorghum,200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|low|100.000|mg a.i./kg seed,Sorghum,100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Sorghum|low|100.000|mg a.i./kg seed,Sorghum,100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=8; status=ASSESSMENT_DEFAULT
small_cereals_msa|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
small_cereals_msa|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
small_cereals_msa|Oat|high|200.000|mg a.i./kg seed,Oat,200,mg a.i./kg seed,high,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=9; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|high|300.000|mg a.i./kg seed","Millet, pearl",300,mg a.i./kg seed,high,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|mid|200.000|mg a.i./kg seed","Millet, pearl",200,mg a.i./kg seed,mid,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, pearl|low|100.000|mg a.i./kg seed","Millet, pearl",100,mg a.i./kg seed,low,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=10; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|high|300.000|mg a.i./kg seed","Millet, proso",300,mg a.i./kg seed,high,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals_msa|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,precision,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|high|4035.000|mg a.i./kg seed","Mustard, yellow",4035,mg a.i./kg seed,high,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|high|4035.000|mg a.i./kg seed","Mustard, yellow",4035,mg a.i./kg seed,high,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|high|4035.000|mg a.i./kg seed","Mustard, yellow",4035,mg a.i./kg seed,high,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|mid|4000.000|mg a.i./kg seed","Mustard, yellow",4000,mg a.i./kg seed,mid,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|mid|4000.000|mg a.i./kg seed","Mustard, yellow",4000,mg a.i./kg seed,mid,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|mid|4000.000|mg a.i./kg seed","Mustard, yellow",4000,mg a.i./kg seed,mid,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|low|2000.000|mg a.i./kg seed","Mustard, yellow",2000,mg a.i./kg seed,low,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|low|2000.000|mg a.i./kg seed","Mustard, yellow",2000,mg a.i./kg seed,low,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, yellow|low|2000.000|mg a.i./kg seed","Mustard, yellow",2000,mg a.i./kg seed,low,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|high|4035.000|mg a.i./kg seed","Mustard, brown and oriental",4035,mg a.i./kg seed,high,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|high|4035.000|mg a.i./kg seed","Mustard, brown and oriental",4035,mg a.i./kg seed,high,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|high|4035.000|mg a.i./kg seed","Mustard, brown and oriental",4035,mg a.i./kg seed,high,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|mid|4000.000|mg a.i./kg seed","Mustard, brown and oriental",4000,mg a.i./kg seed,mid,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|mid|4000.000|mg a.i./kg seed","Mustard, brown and oriental",4000,mg a.i./kg seed,mid,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|mid|4000.000|mg a.i./kg seed","Mustard, brown and oriental",4000,mg a.i./kg seed,mid,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|low|2000.000|mg a.i./kg seed","Mustard, brown and oriental",2000,mg a.i./kg seed,low,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|low|2000.000|mg a.i./kg seed","Mustard, brown and oriental",2000,mg a.i./kg seed,low,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, brown and oriental|low|2000.000|mg a.i./kg seed","Mustard, brown and oriental",2000,mg a.i./kg seed,low,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, broadcast seeding|high|4035.000|mg a.i./kg seed","Mustard, oilseed, broadcast seeding",4035,mg a.i./kg seed,high,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, broadcast seeding|mid|4000.000|mg a.i./kg seed","Mustard, oilseed, broadcast seeding",4000,mg a.i./kg seed,mid,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, broadcast seeding|low|2000.000|mg a.i./kg seed","Mustard, oilseed, broadcast seeding",2000,mg a.i./kg seed,low,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|high|4035.000|mg a.i./kg seed","Mustard, oilseed, standard planting",4035,mg a.i./kg seed,high,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|high|4035.000|mg a.i./kg seed","Mustard, oilseed, standard planting",4035,mg a.i./kg seed,high,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|mid|4000.000|mg a.i./kg seed","Mustard, oilseed, standard planting",4000,mg a.i./kg seed,mid,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|mid|4000.000|mg a.i./kg seed","Mustard, oilseed, standard planting",4000,mg a.i./kg seed,mid,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|low|2000.000|mg a.i./kg seed","Mustard, oilseed, standard planting",2000,mg a.i./kg seed,low,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Mustard, oilseed, standard planting|low|2000.000|mg a.i./kg seed","Mustard, oilseed, standard planting",2000,mg a.i./kg seed,low,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, broadcast seeding|high|4035.000|mg a.i./kg seed","Canola/rapeseed, all varieties, broadcast seeding",4035,mg a.i./kg seed,high,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, broadcast seeding|mid|4000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, broadcast seeding",4000,mg a.i./kg seed,mid,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, broadcast seeding|low|2000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, broadcast seeding",2000,mg a.i./kg seed,low,broadcast,canola,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|high|4035.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",4035,mg a.i./kg seed,high,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|high|4035.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",4035,mg a.i./kg seed,high,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|mid|4000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",4000,mg a.i./kg seed,mid,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|mid|4000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",4000,mg a.i./kg seed,mid,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|low|2000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",2000,mg a.i./kg seed,low,drill_spring,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"canola|Canola/rapeseed, all varieties, standard seeding|low|2000.000|mg a.i./kg seed","Canola/rapeseed, all varieties, standard seeding",2000,mg a.i./kg seed,low,drill_fall,canola,VUI 3622323,NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|high|500.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",500,mg a.i./kg seed,high,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|high|500.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",500,mg a.i./kg seed,high,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|mid|300.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",300,mg a.i./kg seed,mid,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|mid|300.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",300,mg a.i./kg seed,mid,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|low|100.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",100,mg a.i./kg seed,low,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, large-seeded|low|100.000|mg a.i./kg seed","Bean, broad/faba, large-seeded",100,mg a.i./kg seed,low,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|high|560.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",560,mg a.i./kg seed,high,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|high|560.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",560,mg a.i./kg seed,high,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|mid|300.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",300,mg a.i./kg seed,mid,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|mid|300.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",300,mg a.i./kg seed,mid,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|low|100.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",100,mg a.i./kg seed,low,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|low|100.000|mg a.i./kg seed","Bean, broad/faba, small-seeded",100,mg a.i./kg seed,low,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|high|0.076|mg a.i./seed","Bean, broad/faba, small-seeded",0.076,mg a.i./seed,high,drill_spring,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|high|0.076|mg a.i./seed","Bean, broad/faba, small-seeded",0.076,mg a.i./seed,high,precision,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|low|0.045|mg a.i./seed","Bean, broad/faba, small-seeded",0.045,mg a.i./seed,low,drill_spring,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, broad/faba, small-seeded|low|0.045|mg a.i./seed","Bean, broad/faba, small-seeded",0.045,mg a.i./seed,low,precision,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|high|0.076|mg a.i./seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",0.076,mg a.i./seed,high,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|high|0.076|mg a.i./seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",0.076,mg a.i./seed,high,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|low|0.045|mg a.i./seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",0.045,mg a.i./seed,low,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|low|0.045|mg a.i./seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",0.045,mg a.i./seed,low,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=4; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|high|560.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",560,mg a.i./kg seed,high,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|high|560.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",560,mg a.i./kg seed,high,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|mid|500.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",500,mg a.i./kg seed,mid,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|mid|500.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",500,mg a.i./kg seed,mid,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|low|300.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",300,mg a.i./kg seed,low,drill_spring,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , narrow row/solid seeding|low|300.000|mg a.i./kg seed","Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",300,mg a.i./kg seed,low,precision,legumes_deep,VUI 3622323,NA,NA,seed_use_number=5; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , wide row/standard planting|high|0.076|mg a.i./seed","Bean, coloured excluding kidney and cranberry , wide row/standard planting",0.076,mg a.i./seed,high,drill_spring,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , wide row/standard planting|high|0.076|mg a.i./seed","Bean, coloured excluding kidney and cranberry , wide row/standard planting",0.076,mg a.i./seed,high,precision,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , wide row/standard planting|low|0.045|mg a.i./seed","Bean, coloured excluding kidney and cranberry , wide row/standard planting",0.045,mg a.i./seed,low,drill_spring,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
"legumes_deep|Bean, coloured excluding kidney and cranberry , wide row/standard planting|low|0.045|mg a.i./seed","Bean, coloured excluding kidney and cranberry , wide row/standard planting",0.045,mg a.i./seed,low,precision,legumes_deep,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",NA,NA,seed_use_number=6; status=ASSESSMENT_DEFAULT
