workbook_key,file_name,sha256,role,extracted_at
small_cereals,THE 1 small cereals Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026.xlsm,71440554b7b2134cad5c59ab4f474ff081064beb9d2467428eb9b0de08ff8f93,PRIMARY_AUDITED_REFERENCE,2026-08-19T22:00:08-04:00
small_cereals_msa,THE 1b small cereals Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026 MSA doses.xlsm,86afb74d69589be0a6ff16494a8f668d5d30401d6285affcd54230e54c54c3ee,SCENARIO_SOURCE,2026-08-19T22:00:08-04:00
canola,THE 2 canola rapeseed mustard Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026 MSA doses.xlsm,1d3f79e7878713d54af9f940e07a466db67531d6245be07280451656554c5e53,SCENARIO_SOURCE,2026-08-19T22:00:08-04:00
legumes_deep,THE 3 deep legumes Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026 MSA doses.xlsm,2b7b1e8b6e5421ce4a40b0346d04753b8a0b78f33c583445b716527322d20c97,SCENARIO_SOURCE,2026-08-19T22:00:08-04:00
legumes_shallow,THE 3 shallow legumes Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026 MSA doses.xlsm,0ecec212488d03f426647e1e7af883abf73e716f0d2f9b8bb253cdc9068d9fd2,SCENARIO_SOURCE,2026-08-19T22:00:08-04:00
cucurbits,THE 5 cucurbits Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026 MSA doses.xlsm,ae37887003fc8b6107ab09b37f8f2cf82554c82e56f73dbe78e65966f232da7a,SCENARIO_SOURCE,2026-08-19T22:00:08-04:00
