crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
"Lettuce, baby leaf",0.6,1.7,2583336.0,46500093.0,1.5500015999999999,4.391671199999999,27.900055799999997,79.0501581,2583336.0,46500093.0,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Lettuce, leaf and head",0.6,1.7,60000.0,,0.036,0.102,2.25,2.25,60000.0,3750000.0000000005,DIRECT,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Lupin,105.0,503.0,,,78.0,78.0,240.0,240.0,155069.5825049702,2285714.285714286,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Melon (excluding citron and watermelon),21.6,33.3,5980.0,32292.0,0.129168,0.19913399999999998,0.6975072000000001,1.0753236,5980.0,32292.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Melon, citron and watermelon",40.8,180.0,3364.0,30000.0,0.1372512,0.60552,1.224,5.4,3364.0,30000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet , all varieties",1.8,6.5,,,5.6,5.6,40.0,40.0,861538.4615384615,22222222.222222224,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet, pearl",5.3,6.5,,,5.6,5.6,34.0,34.0,861538.4615384615,6415094.339622641,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet, proso",5.0,6.5,,,22.4,22.4,40.0,40.0,3446153.846153846,8000000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, brown and oriental",1.6,4.0,,,4.5,4.5,8.0,8.0,1125000.0,5000000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, greens, baby leaf",1.6,4.0,23250047.0,38750078.0,37.2000752,93.000188,62.0001248,155.000312,23250047.0,38750078.0,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
