workbook,seed_use_number,crop,rate_level,application_rate,application_rate_unit,source,status
small_cereals_msa,7.0,Buckwheat,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,8.0,Sorghum,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,8.0,Sorghum,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,8.0,Sorghum,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,9.0,Oat,high,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,10.0,"Millet, pearl",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,10.0,"Millet, pearl",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,10.0,"Millet, pearl",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,11.0,"Millet, proso",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,11.0,"Millet, proso",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals_msa,11.0,"Millet, proso",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,1.0,"Mustard, yellow",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,1.0,"Mustard, yellow",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,1.0,"Mustard, yellow",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,2.0,"Mustard, brown and oriental",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,2.0,"Mustard, brown and oriental",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,2.0,"Mustard, brown and oriental",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,3.0,"Mustard, oilseed, broadcast seeding",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,3.0,"Mustard, oilseed, broadcast seeding",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,3.0,"Mustard, oilseed, broadcast seeding",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,4.0,"Mustard, oilseed, standard planting",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,4.0,"Mustard, oilseed, standard planting",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,4.0,"Mustard, oilseed, standard planting",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,5.0,"Canola/rapeseed, all varieties, broadcast seeding",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,5.0,"Canola/rapeseed, all varieties, broadcast seeding",mid,4000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,5.0,"Canola/rapeseed, all varieties, broadcast seeding",low,2000.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
canola,6.0,"Canola/rapeseed, all varieties, standard seeding",high,4035.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
